model,factor,outcome,n_pairs,b,c,odds_ratio,or_haldane,or_boot_lo,or_boot_hi,mcnemar_p,q_bh
deepseek-v3-api,cw,final_correct,50,13,0,inf,27,15,39,0.0002441,0.001831
deepseek-v3-api,cw,sign_given_mag,5,5,0,inf,11,11,11,0.0625,0.3125
gemma4-31b-api,cw,final_correct,203,25,1,25,17,5.889,65,8.047e-07,1.207e-05
gemma4-31b-api,cw,sign_given_mag,185,8,0,inf,17,7,29,0.007812,0.05859
gemma4-31b-api,wrk,final_correct,192,2,2,1,1,0.1429,7,1,1
gemma4-31b-api,wrk,sign_given_mag,188,0,0,nan,1,1,1,1,1
gemma4-31b-api,inw,final_correct,204,0,1,0,0.3333,0.1429,1,1,1
gemma4-31b-api,inw,sign_given_mag,203,0,0,nan,1,1,1,1,1
gpt-oss-120b-api,cw,final_correct,248,16,2,8,6.6,2.455,41,0.001312,0.006561
gpt-oss-120b-api,cw,sign_given_mag,240,10,0,inf,21,9,33,0.001953,0.0293
gpt-oss-120b-api,wrk,final_correct,247,1,2,0.5,0.6,0.1111,5,1,1
gpt-oss-120b-api,wrk,sign_given_mag,244,0,0,nan,1,1,1,1,1
gpt-oss-120b-api,inw,final_correct,245,2,2,1,1,0.1429,7,1,1
gpt-oss-120b-api,inw,sign_given_mag,241,0,0,nan,1,1,1,1,1
gpt5-api,cw,final_correct,250,11,1,11,7.667,2.333,33,0.006348,0.0238
gpt5-api,cw,sign_given_mag,239,2,0,inf,5,1,11,0.5,1
gpt5-api,wrk,final_correct,250,2,2,1,1,0.1429,7,1,1
gpt5-api,wrk,sign_given_mag,246,0,0,nan,1,1,1,1,1
gpt5-api,inw,final_correct,250,6,2,3,2.6,0.7143,17,0.2891,0.542
gpt5-api,inw,sign_given_mag,243,1,0,inf,3,1,7,1,1
llama33-70b-api,cw,final_correct,50,3,0,inf,7,1,15,0.25,0.5357
llama33-70b-api,cw,sign_given_mag,1,1,0,inf,3,3,3,1,1
qwen25-72b-api,cw,final_correct,50,4,0,inf,9,3,17,0.125,0.3125
qwen25-72b-api,cw,sign_given_mag,1,1,0,inf,3,3,3,1,1
qwen3-8b-nothink,cw,final_correct,173,5,0,inf,11,3,21,0.0625,0.1875
qwen3-8b-nothink,cw,sign_given_mag,3,3,0,inf,7,7,7,0.25,0.9375
qwen3-8b-nothink,wrk,final_correct,172,2,3,0.6667,0.7143,0.1111,5,1,1
qwen3-8b-nothink,wrk,sign_given_mag,4,0,0,nan,1,1,1,1,1
qwen3-8b-nothink,inw,final_correct,167,3,4,0.75,0.7778,0.1111,3.667,1,1
qwen3-8b-nothink,inw,sign_given_mag,2,0,0,nan,1,1,1,1,1
