model,factor,outcome,n_pairs,b,c,odds_ratio,or_haldane,or_boot_lo,or_boot_hi,mcnemar_p,q_bh
deepseek-v3-api,ccw,final_correct,250,36,0,inf,73,51,95,2.91e-11,5.724e-10
deepseek-v3-api,ccw,sign_given_mag,17,10,0,inf,21,13,29,0.001953,0.02018
deepseek-v3-api,act,final_correct,250,36,3,12,10.43,4.538,71,3.609e-08,3.549e-07
deepseek-v3-api,act,sign_given_mag,17,9,1,9,6.333,1.857,25,0.02148,0.09515
deepseek-v3-api,top,final_correct,250,35,4,8.75,7.889,3.615,28.35,3.353e-07,2.473e-06
deepseek-v3-api,top,sign_given_mag,1,0,0,nan,1,1,1,1,1
gemma4-31b,ccw,final_correct,1,1,0,inf,3,3,3,1,1
gemma4-31b,ccw,sign_given_mag,1,1,0,inf,3,3,3,1,1
gemma4-31b,act,final_correct,1,0,0,nan,1,1,1,1,1
gemma4-31b,act,sign_given_mag,1,0,0,nan,1,1,1,1,1
gemma4-31b-api,ccw,final_correct,250,179,3,59.67,51.29,23.67,365,3.279e-49,1.934e-47
gemma4-31b-api,ccw,sign_given_mag,183,153,0,inf,307,287,325,1.752e-46,5.43e-45
gemma4-31b-api,act,final_correct,250,38,27,1.407,1.4,0.863,2.317,0.2145,0.3836
gemma4-31b-api,act,sign_given_mag,183,11,5,2.2,2.091,0.7895,7.667,0.2101,0.5921
gemma4-31b-api,top,final_correct,250,78,23,3.391,3.34,2.159,5.545,3.552e-08,3.549e-07
gemma4-31b-api,top,sign_given_mag,139,6,4,1.5,1.444,0.4286,6.333,0.7539,1
gpt-oss-120b-api,ccw,final_correct,250,63,1,63,42.33,15.57,149,7.047e-18,2.079e-16
gpt-oss-120b-api,ccw,sign_given_mag,100,35,1,35,23.67,8.714,87,1.077e-09,1.669e-08
gpt-oss-120b-api,act,final_correct,250,46,25,1.84,1.824,1.141,3.103,0.01699,0.03581
gpt-oss-120b-api,act,sign_given_mag,68,13,5,2.6,2.455,1,9,0.09625,0.2984
gpt-oss-120b-api,top,final_correct,250,43,33,1.303,1.299,0.8272,2.061,0.3019,0.4814
gpt-oss-120b-api,top,sign_given_mag,66,3,13,0.2308,0.2593,0.03704,0.6923,0.02127,0.09515
gpt5-api,ccw,final_correct,62,10,0,inf,21,11,33,0.001953,0.006065
gpt5-api,ccw,sign_given_mag,13,8,0,inf,17,11,23,0.007812,0.04844
gpt5-api,act,final_correct,62,7,9,0.7778,0.7895,0.2632,2.091,0.8036,1
gpt5-api,act,sign_given_mag,11,3,1,3,2.333,0.3333,13,0.625,1
gpt5-api,top,final_correct,62,6,10,0.6,0.619,0.1852,1.667,0.4545,0.6705
gpt5-api,top,sign_given_mag,11,1,4,0.25,0.3333,0.06667,1.667,0.375,0.8942
llama33-70b-api,ccw,final_correct,250,10,0,inf,21,11,33,0.001953,0.006065
llama33-70b-api,ccw,sign_given_mag,4,3,0,inf,7,3,9,0.25,0.6458
llama33-70b-api,act,final_correct,250,10,1,10,7,2.143,31,0.01172,0.02561
llama33-70b-api,act,sign_given_mag,3,2,0,inf,5,1,7,0.5,0.9688
llama33-70b-api,top,final_correct,250,10,0,inf,21,11,33,0.001953,0.006065
qwen25-32b,ccw,final_correct,250,3,0,inf,7,1,15,0.25,0.4097
qwen25-32b,act,final_correct,250,3,0,inf,7,1,15,0.25,0.4097
qwen25-32b,top,final_correct,250,3,0,inf,7,1,15,0.25,0.4097
qwen25-72b-api,ccw,final_correct,250,8,0,inf,17,7,29,0.007812,0.01773
qwen25-72b-api,ccw,sign_given_mag,1,0,0,nan,1,1,1,1,1
qwen25-72b-api,act,final_correct,250,8,0,inf,17,7,29,0.007812,0.01773
qwen25-72b-api,act,sign_given_mag,2,2,0,inf,5,5,5,0.5,0.9688
qwen25-72b-api,top,final_correct,250,8,0,inf,17,7,29,0.007812,0.01773
qwen25-7b-instruct,ccw,final_correct,250,0,0,nan,1,1,1,1,1
qwen25-7b-instruct,act,final_correct,250,0,0,nan,1,1,1,1,1
qwen25-7b-instruct,top,final_correct,250,0,0,nan,1,1,1,1,1
qwen3-1.7b-nothink,ccw,final_correct,250,0,0,nan,1,1,1,1,1
qwen3-1.7b-nothink,act,final_correct,250,0,0,nan,1,1,1,1,1
qwen3-1.7b-nothink,top,final_correct,250,0,0,nan,1,1,1,1,1
qwen3-1.7b-think,ccw,final_correct,132,2,0,inf,5,1,11,0.5,0.6705
qwen3-1.7b-think,ccw,sign_given_mag,1,1,0,inf,3,3,3,1,1
qwen3-1.7b-think,act,final_correct,120,2,0,inf,5,1,11,0.5,0.6705
qwen3-1.7b-think,top,final_correct,116,2,0,inf,5,1,11,0.5,0.6705
qwen3-14b-nothink,ccw,final_correct,250,10,0,inf,21,11,33,0.001953,0.006065
qwen3-14b-nothink,act,final_correct,250,10,0,inf,21,11,33,0.001953,0.006065
qwen3-14b-nothink,act,sign_given_mag,1,0,0,nan,1,1,1,1,1
qwen3-14b-nothink,top,final_correct,250,10,0,inf,21,11,33,0.001953,0.006065
qwen3-14b-think,ccw,final_correct,250,23,2,11.5,9.4,3.667,57,1.943e-05,0.0001146
qwen3-14b-think,ccw,sign_given_mag,11,5,0,inf,11,5,17,0.0625,0.2153
qwen3-14b-think,act,final_correct,250,23,0,inf,47,29,65,2.384e-07,2.01e-06
qwen3-14b-think,act,sign_given_mag,6,2,0,inf,5,1,9,0.5,0.9688
qwen3-14b-think,top,final_correct,250,23,9,2.556,2.474,1.222,5.889,0.02006,0.04081
qwen3-14b-think,top,sign_given_mag,1,0,0,nan,1,1,1,1,1
qwen3-32b-nothink,ccw,final_correct,250,12,0,inf,25,13,39,0.0004883,0.002216
qwen3-32b-nothink,ccw,sign_given_mag,2,0,0,nan,1,1,1,1,1
qwen3-32b-nothink,act,final_correct,250,12,0,inf,25,13,39,0.0004883,0.002216
qwen3-32b-nothink,act,sign_given_mag,4,1,0,inf,3,1,7,1,1
qwen3-32b-nothink,top,final_correct,250,12,0,inf,25,13,39,0.0004883,0.002216
qwen3-32b-think,ccw,final_correct,250,27,0,inf,55,37,75,1.49e-08,2.198e-07
qwen3-32b-think,ccw,sign_given_mag,10,9,0,inf,19,15,21,0.003906,0.03027
qwen3-32b-think,act,final_correct,250,26,2,13,10.6,4.111,63,3.032e-06,1.988e-05
qwen3-32b-think,act,sign_given_mag,8,6,0,inf,13,7,17,0.03125,0.1211
qwen3-32b-think,top,final_correct,250,22,6,3.667,3.462,1.609,10.2,0.003719,0.01002
qwen3-32b-think,top,sign_given_mag,5,0,0,nan,1,1,1,1,1
qwen3-4b-nothink,ccw,final_correct,250,1,0,inf,3,1,7,1,1
qwen3-4b-nothink,act,final_correct,250,1,0,inf,3,1,7,1,1
qwen3-4b-nothink,top,final_correct,250,1,0,inf,3,1,7,1,1
qwen3-4b-think,ccw,final_correct,250,9,0,inf,19,9,31,0.003906,0.01002
qwen3-4b-think,ccw,sign_given_mag,6,1,0,inf,3,1,7,1,1
qwen3-4b-think,act,final_correct,250,9,0,inf,19,9,31,0.003906,0.01002
qwen3-4b-think,act,sign_given_mag,5,1,0,inf,3,1,7,1,1
qwen3-4b-think,top,final_correct,250,9,0,inf,19,9,31,0.003906,0.01002
qwen3-8b-nothink,ccw,final_correct,250,2,0,inf,5,1,11,0.5,0.6705
qwen3-8b-nothink,act,final_correct,250,2,0,inf,5,1,11,0.5,0.6705
qwen3-8b-nothink,act,sign_given_mag,1,1,0,inf,3,3,3,1,1
qwen3-8b-nothink,top,final_correct,250,2,0,inf,5,1,11,0.5,0.6705
qwen3-8b-think,ccw,final_correct,250,4,0,inf,9,3,17,0.125,0.2305
qwen3-8b-think,act,final_correct,250,4,0,inf,9,3,17,0.125,0.2305
qwen3-8b-think,top,final_correct,250,4,0,inf,9,3,17,0.125,0.2305
r1-distill-32b,ccw,final_correct,5,0,0,nan,1,1,1,1,1
r1-distill-32b,act,final_correct,4,0,0,nan,1,1,1,1,1
r1-distill-32b,top,final_correct,2,0,0,nan,1,1,1,1,1
