model,cell,regime,n,correct,compliance,competence,completed_rate,final_correct_rate,mag_correct_rate,sign_given_mag_rate,extract_issues
deepseek-v3-api,cw,all,50,0,14,36,0.9400,0.0000,0.2800,0.0000,5
deepseek-v3-api,cw,control,24,0,5,19,0.9167,0.0000,0.2083,0.0000,1
deepseek-v3-api,cw,trap,26,0,9,17,0.9615,0.0000,0.3462,0.0000,4
deepseek-v3-api,dflt,all,50,13,0,37,0.9800,0.2600,0.2600,1.0000,4
deepseek-v3-api,dflt,control,24,6,0,18,0.9583,0.2500,0.2500,1.0000,3
deepseek-v3-api,dflt,trap,26,7,0,19,1.0000,0.2692,0.2692,1.0000,1
gemma4-31b-api,cw,all,223,196,9,18,0.9372,0.8789,0.9193,0.9561,14
gemma4-31b-api,cw,control,107,95,3,9,0.9439,0.8879,0.9159,0.9694,6
gemma4-31b-api,cw,trap,116,101,6,9,0.9310,0.8707,0.9224,0.9439,8
gemma4-31b-api,dflt,all,223,220,0,3,0.9910,0.9865,0.9865,1.0000,2
gemma4-31b-api,dflt,control,112,111,0,1,1.0000,0.9911,0.9911,1.0000,0
gemma4-31b-api,dflt,trap,111,109,0,2,0.9820,0.9820,0.9820,1.0000,2
gemma4-31b-api,inw,all,229,229,0,0,1.0000,1.0000,1.0000,1.0000,0
gemma4-31b-api,inw,control,114,114,0,0,1.0000,1.0000,1.0000,1.0000,0
gemma4-31b-api,inw,trap,115,115,0,0,1.0000,1.0000,1.0000,1.0000,0
gemma4-31b-api,wrk,all,217,214,0,3,1.0000,0.9862,0.9862,1.0000,0
gemma4-31b-api,wrk,control,107,105,0,2,1.0000,0.9813,0.9813,1.0000,0
gemma4-31b-api,wrk,trap,110,109,0,1,1.0000,0.9909,0.9909,1.0000,0
gpt-oss-120b-api,cw,all,250,234,10,6,1.0000,0.9360,0.9760,0.9590,0
gpt-oss-120b-api,cw,control,124,116,5,3,1.0000,0.9355,0.9758,0.9587,0
gpt-oss-120b-api,cw,trap,126,118,5,3,1.0000,0.9365,0.9762,0.9593,0
gpt-oss-120b-api,dflt,all,248,246,0,2,1.0000,0.9919,0.9919,1.0000,0
gpt-oss-120b-api,dflt,control,122,121,0,1,1.0000,0.9918,0.9918,1.0000,0
gpt-oss-120b-api,dflt,trap,126,125,0,1,1.0000,0.9921,0.9921,1.0000,0
gpt-oss-120b-api,inw,all,247,245,0,2,1.0000,0.9919,0.9919,1.0000,1
gpt-oss-120b-api,inw,control,122,121,0,1,1.0000,0.9918,0.9918,1.0000,0
gpt-oss-120b-api,inw,trap,125,124,0,1,1.0000,0.9920,0.9920,1.0000,1
gpt-oss-120b-api,wrk,all,249,247,0,2,1.0000,0.9920,0.9920,1.0000,0
gpt-oss-120b-api,wrk,control,123,121,0,2,1.0000,0.9837,0.9837,1.0000,0
gpt-oss-120b-api,wrk,trap,126,126,0,0,1.0000,1.0000,1.0000,1.0000,0
gpt5-api,cw,all,250,238,3,9,1.0000,0.9520,0.9640,0.9876,0
gpt5-api,cw,control,124,120,1,3,1.0000,0.9677,0.9758,0.9917,0
gpt5-api,cw,trap,126,118,2,6,1.0000,0.9365,0.9524,0.9833,0
gpt5-api,dflt,all,250,248,0,2,1.0000,0.9920,0.9920,1.0000,0
gpt5-api,dflt,control,124,123,0,1,1.0000,0.9919,0.9919,1.0000,0
gpt5-api,dflt,trap,126,125,0,1,1.0000,0.9921,0.9921,1.0000,0
gpt5-api,inw,all,250,244,1,5,1.0000,0.9760,0.9800,0.9959,0
gpt5-api,inw,control,124,121,0,3,1.0000,0.9758,0.9758,1.0000,0
gpt5-api,inw,trap,126,123,1,2,1.0000,0.9762,0.9841,0.9919,0
gpt5-api,wrk,all,250,248,0,2,0.9960,0.9920,0.9920,1.0000,1
gpt5-api,wrk,control,124,122,0,2,0.9919,0.9839,0.9839,1.0000,1
gpt5-api,wrk,trap,126,126,0,0,1.0000,1.0000,1.0000,1.0000,0
llama33-70b-api,cw,all,50,0,3,47,0.8600,0.0000,0.0600,0.0000,8
llama33-70b-api,cw,control,24,0,0,24,0.7917,0.0000,0.0000,nan,5
llama33-70b-api,cw,trap,26,0,3,23,0.9231,0.0000,0.1154,0.0000,3
llama33-70b-api,dflt,all,50,3,0,47,0.9200,0.0600,0.0600,1.0000,4
llama33-70b-api,dflt,control,24,1,0,23,0.9583,0.0417,0.0417,1.0000,1
llama33-70b-api,dflt,trap,26,2,0,24,0.8846,0.0769,0.0769,1.0000,3
qwen25-72b-api,cw,all,50,0,4,46,0.8400,0.0000,0.0800,0.0000,30
qwen25-72b-api,cw,control,24,0,1,23,0.8750,0.0000,0.0417,0.0000,14
qwen25-72b-api,cw,trap,26,0,3,23,0.8077,0.0000,0.1154,0.0000,16
