model,factor,outcome,n_pairs,both_ok,b_dflt_only,c_flip_only,both_bad,odds_ratio,mcnemar_p,rate_default,rate_flipped
deepseek-v3-api,cw,final_correct,50,0,13,0,37,inf,0.0002441,0.2600,0.0000
deepseek-v3-api,cw,sign_given_mag,5,0,5,0,0,inf,0.0625,1.0000,0.0000
deepseek-v3-api,wrk,final_correct,0,0,0,0,0,nan,1,nan,nan
deepseek-v3-api,wrk,sign_given_mag,0,0,0,0,0,nan,1,nan,nan
deepseek-v3-api,inw,final_correct,0,0,0,0,0,nan,1,nan,nan
deepseek-v3-api,inw,sign_given_mag,0,0,0,0,0,nan,1,nan,nan
gemma4-31b-api,cw,final_correct,203,177,25,1,0,25,8.047e-07,0.9951,0.8768
gemma4-31b-api,cw,sign_given_mag,185,177,8,0,0,inf,0.007812,1.0000,0.9568
gemma4-31b-api,wrk,final_correct,192,188,2,2,0,1,1,0.9896,0.9896
gemma4-31b-api,wrk,sign_given_mag,188,188,0,0,0,nan,1,1.0000,1.0000
gemma4-31b-api,inw,final_correct,204,203,0,1,0,0,1,0.9951,1.0000
gemma4-31b-api,inw,sign_given_mag,203,203,0,0,0,nan,1,1.0000,1.0000
gpt-oss-120b-api,cw,final_correct,248,230,16,2,0,8,0.001312,0.9919,0.9355
gpt-oss-120b-api,cw,sign_given_mag,240,230,10,0,0,inf,0.001953,1.0000,0.9583
gpt-oss-120b-api,wrk,final_correct,247,244,1,2,0,0.5,1,0.9919,0.9960
gpt-oss-120b-api,wrk,sign_given_mag,244,244,0,0,0,nan,1,1.0000,1.0000
gpt-oss-120b-api,inw,final_correct,245,241,2,2,0,1,1,0.9918,0.9918
gpt-oss-120b-api,inw,sign_given_mag,241,241,0,0,0,nan,1,1.0000,1.0000
gpt5-api,cw,final_correct,250,237,11,1,1,11,0.006348,0.9920,0.9520
gpt5-api,cw,sign_given_mag,239,237,2,0,0,inf,0.5,1.0000,0.9916
gpt5-api,wrk,final_correct,250,246,2,2,0,1,1,0.9920,0.9920
gpt5-api,wrk,sign_given_mag,246,246,0,0,0,nan,1,1.0000,1.0000
gpt5-api,inw,final_correct,250,242,6,2,0,3,0.2891,0.9920,0.9760
gpt5-api,inw,sign_given_mag,243,242,1,0,0,inf,1,1.0000,0.9959
llama33-70b-api,cw,final_correct,50,0,3,0,47,inf,0.25,0.0600,0.0000
llama33-70b-api,cw,sign_given_mag,1,0,1,0,0,inf,1,1.0000,0.0000
llama33-70b-api,wrk,final_correct,0,0,0,0,0,nan,1,nan,nan
llama33-70b-api,wrk,sign_given_mag,0,0,0,0,0,nan,1,nan,nan
llama33-70b-api,inw,final_correct,0,0,0,0,0,nan,1,nan,nan
llama33-70b-api,inw,sign_given_mag,0,0,0,0,0,nan,1,nan,nan
qwen25-72b-api,cw,final_correct,50,0,4,0,46,inf,0.125,0.0800,0.0000
qwen25-72b-api,cw,sign_given_mag,1,0,1,0,0,inf,1,1.0000,0.0000
qwen25-72b-api,wrk,final_correct,0,0,0,0,0,nan,1,nan,nan
qwen25-72b-api,wrk,sign_given_mag,0,0,0,0,0,nan,1,nan,nan
qwen25-72b-api,inw,final_correct,0,0,0,0,0,nan,1,nan,nan
qwen25-72b-api,inw,sign_given_mag,0,0,0,0,0,nan,1,nan,nan
qwen3-8b-nothink,cw,final_correct,173,0,5,0,168,inf,0.0625,0.0289,0.0000
qwen3-8b-nothink,cw,sign_given_mag,3,0,3,0,0,inf,0.25,1.0000,0.0000
qwen3-8b-nothink,wrk,final_correct,172,3,2,3,164,0.6667,1,0.0291,0.0349
qwen3-8b-nothink,wrk,sign_given_mag,4,3,0,0,1,nan,1,0.7500,0.7500
qwen3-8b-nothink,inw,final_correct,167,2,3,4,158,0.75,1,0.0299,0.0359
qwen3-8b-nothink,inw,sign_given_mag,2,2,0,0,0,nan,1,1.0000,1.0000
